table value,free-free value,ratio,frequency(Hz),temperature(K),density(g/cm3)
4.26937e-17,1.36629e-20,3124.79,2.41799e+14,5802.26,2.1544e-16
2.50298e-16,2.72965e-21,91696,4.29991e+14,5802.26,2.1544e-16
1.56864e-13,4.98778e-22,3.14497e+08,7.64641e+14,5802.26,2.1544e-16
3.15921e-14,8.88572e-23,3.55538e+08,1.35973e+15,5802.26,2.1544e-16
2.19684e-10,1.58014e-23,1.39028e+13,2.41799e+15,5802.26,2.1544e-16
1.318e-11,2.80983e-24,4.69066e+12,4.29991e+15,5802.26,2.1544e-16
4.72417e-11,4.99673e-25,9.45451e+13,7.64641e+15,5802.26,2.1544e-16
1.35473e-11,8.88584e-26,1.52459e+14,1.35973e+16,5802.26,2.1544e-16
3.29968e-12,1.58014e-26,2.08822e+14,2.41799e+16,5802.26,2.1544e-16
7.67677e-13,2.80983e-27,2.73211e+14,4.29991e+16,5802.26,2.1544e-16
1.95714e-13,4.99673e-28,3.91684e+14,7.64641e+16,5802.26,2.1544e-16
5.71498e-14,8.88584e-29,6.43155e+14,1.35973e+17,5802.26,2.1544e-16
2.27074e-14,1.58014e-29,1.43705e+15,2.41799e+17,5802.26,2.1544e-16
5.19792e-15,2.80983e-30,1.8499e+15,4.29991e+17,5802.26,2.1544e-16
1.29156e-15,4.99673e-31,2.58481e+15,7.64641e+17,5802.26,2.1544e-16
2.58463e-16,8.88584e-32,2.90871e+15,1.35973e+18,5802.26,2.1544e-16
5.69264e-17,2.27925e-20,2497.59,2.41799e+14,5802.26,2.7826e-16
3.32465e-16,4.55361e-21,73011.3,4.29991e+14,5802.26,2.7826e-16
2.14419e-13,8.32063e-22,2.57695e+08,7.64641e+14,5802.26,2.7826e-16
4.18141e-14,1.48232e-22,2.82086e+08,1.35973e+15,5802.26,2.7826e-16
4.32249e-10,2.63599e-23,1.6398e+13,2.41799e+15,5802.26,2.7826e-16
2.09594e-11,4.68737e-24,4.47146e+12,4.29991e+15,5802.26,2.7826e-16
6.18572e-11,8.33557e-25,7.42087e+13,7.64641e+15,5802.26,2.7826e-16
1.76311e-11,1.48234e-25,1.18941e+14,1.35973e+16,5802.26,2.7826e-16
4.28854e-12,2.63599e-26,1.62692e+14,2.41799e+16,5802.26,2.7826e-16
9.9592e-13,4.68737e-27,2.12469e+14,4.29991e+16,5802.26,2.7826e-16
2.53481e-13,8.33557e-28,3.04096e+14,7.64641e+16,5802.26,2.7826e-16
7.59093e-14,1.48234e-28,5.12092e+14,1.35973e+17,5802.26,2.7826e-16
2.93536e-14,2.63599e-29,1.11357e+15,2.41799e+17,5802.26,2.7826e-16
6.71497e-15,4.68737e-30,1.43257e+15,4.29991e+17,5802.26,2.7826e-16
1.66867e-15,8.33557e-31,2.00187e+15,7.64641e+17,5802.26,2.7826e-16
3.33801e-16,1.48234e-31,2.25185e+15,1.35973e+18,5802.26,2.7826e-16
7.64976e-17,3.80188e-20,2012.1,2.41799e+14,5802.26,3.5938e-16
4.44697e-16,7.5956e-21,58546.6,4.29991e+14,5802.26,3.5938e-16
2.96636e-13,1.38791e-21,2.13728e+08,7.64641e+14,5802.26,3.5938e-16
5.56931e-14,2.47257e-22,2.25244e+08,1.35973e+15,5802.26,3.5938e-16
8.05982e-10,4.39694e-23,1.83305e+13,2.41799e+15,5802.26,3.5938e-16
3.36355e-11,7.81872e-24,4.30191e+12,4.29991e+15,5802.26,3.5938e-16
8.12918e-11,1.39041e-24,5.84662e+13,7.64641e+15,5802.26,3.5938e-16
2.29935e-11,2.4726e-25,9.29932e+13,1.35973e+16,5802.26,3.5938e-16
5.58333e-12,4.39694e-26,1.26982e+14,2.41799e+16,5802.26,3.5938e-16
1.29359e-12,7.81872e-27,1.65448e+14,4.29991e+16,5802.26,3.5938e-16
3.28545e-13,1.39041e-27,2.36295e+14,7.64641e+16,5802.26,3.5938e-16
1.01532e-13,2.4726e-28,4.10629e+14,1.35973e+17,5802.26,3.5938e-16
3.79505e-14,4.39694e-29,8.63112e+14,2.41799e+17,5802.26,3.5938e-16
8.67507e-15,7.81872e-30,1.10953e+15,4.29991e+17,5802.26,3.5938e-16
2.15592e-15,1.39041e-30,1.55057e+15,7.64641e+17,5802.26,3.5938e-16
4.31112e-16,2.4726e-31,1.74356e+15,1.35973e+18,5802.26,3.5938e-16
1.03763e-16,6.342e-20,1636.12,2.41799e+14,5802.26,4.6416e-16
5.9988e-16,1.26704e-20,47345.1,4.29991e+14,5802.26,4.6416e-16
4.15994e-13,2.31521e-21,1.79679e+08,7.64641e+14,5802.26,4.6416e-16
7.47483e-14,4.12454e-22,1.81228e+08,1.35973e+15,5802.26,4.6416e-16
1.45417e-09,7.33463e-23,1.9826e+13,2.41799e+15,5802.26,4.6416e-16
5.43949e-11,1.30426e-23,4.17057e+12,4.29991e+15,5802.26,4.6416e-16
1.07332e-10,2.31936e-24,4.62766e+13,7.64641e+15,5802.26,4.6416e-16
3.00687e-11,4.12459e-25,7.29011e+13,1.35973e+16,5802.26,4.6416e-16
7.28592e-12,7.33463e-26,9.93359e+13,2.41799e+16,5802.26,4.6416e-16
1.683e-12,1.30426e-26,1.29039e+14,4.29991e+16,5802.26,4.6416e-16
4.26285e-13,2.31936e-27,1.83794e+14,7.64641e+16,5802.26,4.6416e-16
1.36964e-13,4.12459e-28,3.32067e+14,1.35973e+17,5802.26,4.6416e-16
4.90803e-14,7.33463e-29,6.69158e+14,2.41799e+17,5802.26,4.6416e-16
1.12081e-14,1.30426e-29,8.59345e+14,4.29991e+17,5802.26,4.6416e-16
2.78584e-15,2.31936e-30,1.20112e+15,7.64641e+17,5802.26,4.6416e-16
5.56806e-16,4.12459e-31,1.34997e+15,1.35973e+18,5802.26,4.6416e-16
1.39091e-16,1.05789e-19,1314.8,2.41799e+14,5802.26,5.9948e-16
8.00665e-16,2.11351e-20,37883.2,4.29991e+14,5802.26,5.9948e-16
5.70963e-13,3.86193e-21,1.47844e+08,7.64641e+14,5802.26,5.9948e-16
9.93278e-14,6.88002e-22,1.44371e+08,1.35973e+15,5802.26,5.9948e-16
3.12221e-09,1.22347e-22,2.55194e+13,2.41799e+15,5802.26,5.9948e-16
8.5288e-11,2.17559e-23,3.92022e+12,4.29991e+15,5802.26,5.9948e-16
1.41813e-10,3.86886e-24,3.6655e+13,7.64641e+15,5802.26,5.9948e-16
3.93625e-11,6.88011e-25,5.7212e+13,1.35973e+16,5802.26,5.9948e-16
9.51255e-12,1.22347e-25,7.77508e+13,2.41799e+16,5802.26,5.9948e-16
2.19044e-12,2.17559e-26,1.00683e+14,4.29991e+16,5802.26,5.9948e-16
5.53242e-13,3.86886e-27,1.42999e+14,7.64641e+16,5802.26,5.9948e-16
1.83171e-13,6.88011e-28,2.66233e+14,1.35973e+17,5802.26,5.9948e-16
6.34789e-14,1.22347e-28,5.18845e+14,2.41799e+17,5802.26,5.9948e-16
1.44822e-14,2.17559e-29,6.65669e+14,4.29991e+17,5802.26,5.9948e-16
3.5997e-15,3.86886e-30,9.30429e+14,7.64641e+17,5802.26,5.9948e-16
7.19136e-16,6.88011e-31,1.04524e+15,1.35973e+18,5802.26,5.9948e-16
